moa,compound_id
immunoglobulin inhibitor,BRD-A98427211
bacterial 30S ribosomal subunit inhibitor,BRD-A98954669
histamine receptor antagonist,BRD-A98990573
antimalarial agent,BRD-A99117172
methionine aminopeptidase inhibitor,BRD-A99367815
adrenergic receptor antagonist,BRD-A99388803
succinimide antiepileptic,BRD-A99633051
dopamine receptor antagonist,BRD-A99888680
serotonin receptor antagonist,BRD-A99888680
acetylcholine receptor antagonist,BRD-A99899486
bacterial cell wall synthesis inhibitor,BRD-A99949740
carbonic anhydrase inhibitor,BRD-K00002562
3-beta-D-glucan synthase inhibitor,BRD-K00002625
bacterial cell wall synthesis inhibitor,BRD-K00002625
fungal 1,BRD-K00002625
cytochrome P450 inhibitor,BRD-K00003103
thyroid hormone receptor agonist,BRD-K00003123
antiviral,BRD-K00003133
sphingosine 1-phosphate receptor antagonist,BRD-K00003139
progesterone receptor agonist,BRD-K00003150
microtubule inhibitor,BRD-K00003156
gonadotropin releasing factor hormone receptor agonist,BRD-K00003161
serotonin receptor agonist,BRD-K00003178
dipeptidyl peptidase inhibitor,BRD-K00003182
cholinergic receptor antagonist,BRD-K00003198
sodium/hydrogen exchanger inhibitor,BRD-K00003201
cytochrome P450 inhibitor,BRD-K00003210
non-nucleoside reverse transcriptase inhibitor,BRD-K00003231
vesicular monoamine transporter inhibitor,BRD-K00003233
antibacterial,BRD-K00003240
bacterial 30S ribosomal subunit inhibitor,BRD-K00003240
ATPase inhibitor,BRD-K00003243
solute carrier family member inhibitor,BRD-K00003246
HIV integrase inhibitor,BRD-K00003247
GABA receptor modulator,BRD-K00003249
voltage-gated sodium channel blocker,BRD-K00003249
angiotensin receptor antagonist,BRD-K00003253
antibacterial,BRD-K00003257
serine protease inhibitor,BRD-K00003260
PI3K inhibitor,BRD-K00003261
phosphodiesterase inhibitor,BRD-K00003266
PPAR receptor agonist,BRD-K00003284
JAK inhibitor,BRD-K00003286
neurokinin receptor antagonist,BRD-K00003287
beta lactamase inhibitor,BRD-K00003306
neuromuscular blockade reversal agent,BRD-K00003322
other antibiotic,BRD-K00003324
PKC activator,BRD-K00003329
anti-inflammatory agent,BRD-K00003338
bacterial 30S ribosomal subunit inhibitor,BRD-K00003346
ribosomal protein inhibitor,BRD-K00003346
bacterial 30S ribosomal subunit inhibitor,BRD-K00003347
bacterial 30S ribosomal subunit inhibitor,BRD-K00003349
bacterial DNA inhibitor,BRD-K00003349
protein synthesis inhibitor,BRD-K00003351
bacterial 30S ribosomal subunit inhibitor,BRD-K00003352
protein synthesis inhibitor,BRD-K00003353
antioxidant,BRD-K00003362
hypoxia inducible factor prolyl hydroxylase inhibitor,BRD-K00003407
Bruton's tyrosine kinase (BTK) inhibitor,BRD-K00003413
